02:28:18 0,00 0,00 8,91 7,92
02:28:20 8,00 0,00 16,00 16,00
02:28:22 8,00 0,00 16,00 16,00
02:28:24 8,00 0,00 22,00 22,00
02:28:26 8,00 0,00 19,00 19,00
02:28:28 8,00 0,00 17,00 17,00
02:28:30 8,00 0,00 24,00 24,00
02:28:32 8,00 0,00 16,00 16,00
02:28:34 0,00 0,00 0,00 0,00
02:28:36 8,00 0,00 16,00 16,00
02:28:38 8,00 0,00 20,00 20,00
02:28:40 8,00 0,00 24,00 24,00
02:28:42 7,92 0,00 15,84 15,84
02:28:44 8,00 0,00 16,00 16,00
02:28:46 8,00 0,00 22,00 22,00
02:28:48 8,00 0,00 22,00 22,00
02:28:50 0,00 0,00 5,00 5,00
02:28:52 8,00 0,00 16,00 16,00
02:28:54 8,00 0,00 16,00 16,00
02:28:56 8,00 0,00 17,00 17,00
02:28:58 8,00 0,00 19,00 19,00
02:29:00 8,00 0,00 22,00 22,00
02:29:02 8,00 0,00 22,00 22,00
02:29:04 8,00 0,00 16,00 16,00
02:29:06 0,00 0,00 6,00 6,00
02:29:08 8,00 0,00 22,00 22,00
02:29:10 8,00 0,00 16,00 16,00
02:29:12 8,00 0,00 23,00 23,00
02:29:14 8,00 0,00 16,00 16,00
02:29:16 8,00 0,00 26,00 26,00
